Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
72,368970,오에스피,5,120,14,49,59,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,368970,오에스피,5,120,14,49,69,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,49,59,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,49,59,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,49,59,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,49,64,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,49,64,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,49,64,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,49,64,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,49,64,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,49,64,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,49,64,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,49,64,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,49,64,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,49,64,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,49,64,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,49,64,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,49,69,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,49,69,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,49,69,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,49,69,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,49,69,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,49,69,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,49,69,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,49,69,1.0,10.0,-21.24,0.0,-37.35,51.12
72,417970,모델솔루션,5,120,14,44,69,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,417970,모델솔루션,5,120,14,39,54,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,455910,에스케이증권제9호스팩,5,120,14,44,64,1.0,10.0,-21.24,0.0,-40.61,38.65
72,314140,알피바이오,5,120,14,39,69,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,39,64,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,39,64,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,64,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,39,64,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,64,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,64,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,64,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,64,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,39,69,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,39,69,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,39,69,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,419120,산돌,5,120,14,39,69,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,456440,DB금융스팩11호,5,120,14,44,64,1.0,10.0,-21.24,0.0,-46.04,36.47
72,099390,브레인즈컴퍼니,5,120,14,39,69,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,69,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,39,69,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,69,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,69,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,69,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,69,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,39,74,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,39,74,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,39,74,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,39,74,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,314140,알피바이오,5,120,14,39,64,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,290090,트윔,5,120,14,39,64,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,417970,모델솔루션,5,120,14,39,64,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,417790,트루엔,5,120,14,39,64,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417790,트루엔,5,120,14,39,54,1.0,10.0,-21.24,0.0,-31.9,45.74
72,290090,트윔,5,120,14,39,54,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,39,54,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,39,54,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,39,54,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,54,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,39,54,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,54,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,54,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,54,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,54,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,39,59,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,39,59,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,39,59,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,39,59,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,39,59,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,39,59,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,59,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,39,59,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,59,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,59,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,59,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,59,1.0,10.0,-21.24,0.0,-40.61,38.65
72,419120,산돌,5,120,14,39,74,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,39,74,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,74,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,365900,브이씨,5,120,14,44,54,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,455910,에스케이증권제9호스팩,5,120,14,44,54,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,44,59,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,44,59,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,44,59,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,44,59,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,44,59,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,44,59,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,44,59,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,44,59,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,44,59,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,44,59,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,44,59,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,44,59,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,44,64,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,44,64,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,44,64,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,44,64,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,44,64,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,44,64,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,44,64,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,44,64,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,44,64,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,44,64,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,44,54,1.0,10.0,-21.24,0.0,-46.04,36.47
72,368970,오에스피,5,120,14,44,54,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,377330,이지트로닉스,5,120,14,39,74,1.0,10.0,-21.24,0.0,-37.35,51.12
72,377330,이지트로닉스,5,120,14,44,54,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,74,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,74,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,74,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,74,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,39,79,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,39,79,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,39,79,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,39,79,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,39,79,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,39,79,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,39,79,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,377330,이지트로닉스,5,120,14,39,79,1.0,10.0,-21.24,0.0,-37.35,51.12
72,368970,오에스피,5,120,14,39,79,1.0,10.0,-21.24,-52.47,-33.64,43.97
72,365900,브이씨,5,120,14,39,79,1.0,10.0,-21.24,-28.55,-36.48,46.74
72,456440,DB금융스팩11호,5,120,14,39,79,1.0,10.0,-21.24,0.0,-46.04,36.47
72,455910,에스케이증권제9호스팩,5,120,14,39,79,1.0,10.0,-21.24,0.0,-40.61,38.65
72,417790,트루엔,5,120,14,44,54,1.0,10.0,-21.24,0.0,-31.9,45.74
72,417970,모델솔루션,5,120,14,44,54,1.0,10.0,-21.24,-48.08,-34.02,48.52
72,290090,트윔,5,120,14,44,54,1.0,10.0,-21.24,-30.08,-35.05,50.77
72,314140,알피바이오,5,120,14,44,54,1.0,10.0,-21.24,-23.9,-30.05,47.0
72,419120,산돌,5,120,14,44,54,1.0,10.0,-21.24,-30.7,-37.78,51.71
72,099390,브레인즈컴퍼니,5,120,14,44,54,1.0,10.0,-21.24,-12.98,-36.64,47.37
72,335810,프리시젼바이오,5,120,14,44,54,1.0,10.0,-21.24,-28.12,-36.2,49.3
72,455910,에스케이증권제9호스팩,5,120,14,49,79,1.0,10.0,-21.24,0.0,-40.61,38.65
